name,uuid,description,keywords,prompts.batch,preferred_score,targets
oxidation_states,383d29c4-857b-b326-8d13-08afebb22b61,Predicting the oxidation state of an element in a chemical compound,"['oxidation states', 'requires-reasoning', 'general-chemistry', 'difficulty-basic']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: What is the oxidation state of N in N2O?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['1']
number_1h_nmr_shifts,3901ab54-2beb-f07a-33d0-4aca155c9231,Predicting the maximum number of 1H NMR peaks for a molecule.,"['nmr', 'analytical-chemistry', '1H', 'symmetry', 'requires-reasoning']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: What is the number of peaks in the 1H NMR spectrum of a molecule with SMILES CC(C#N)C1CN1C?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['6']
icho_uk_2019_1b2,39aef115-15f4-266d-4f37-b9886ffc9242,Calculating the mass of a compound given its concentration.,"[""Henry's-law"", 'equilibrium', 'physical-chemistry', 'stoichiometry', 'requires-calculation', 'icho', 'stochiometry', 'difficulty-basic']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: The concentration of CO2 in a 250 cm^{3} can of fizzy drink was found to be 0.099 mol dm^{-3}. What is, in grams, the mass of CO2 dissolved in a 250 cm^{3} can of fizzy drink?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['1.09']
icho_uk_2010_6e,3a855c24-1ff2-1951-5963-e19de87f8b50,Calculating the fraction of the volume of a unit cell occupied by the atoms.,"['unit-cell', 'solid-state', 'packing-fraction', 'solid-state-chemistry', 'icho', 'difficulty-basic', 'requires-calculation', 'requires-reasoning']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: Gold atom crystallizes in a cubic arrangement such that it occupies all the corners and all the center of the faces. What fraction of the volume of the unit cell is occupied by gold atoms?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['0.74']
icho_uk_2022_q3b,3b03df80-f791-3478-4ef4-66af1a79247e,Predicting the number of peaks in the NMR spectrum of a given compound.,"['NMR-spectroscopy', 'organic-chemistry', 'isomers', 'icho', 'requires-knowledge', 'requires-reasoning']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: What is the number of peaks in the C(13) NMR spectrum of cubane?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['1']
icho_uk_2010_3a,3ca2ee8c-05e6-bd3d-81c6-b74232a0f9c3,Predicting the appropriate stoichiometric coefficient to complete the given reaction.,"['stoichiometric coefficient', 'physical-chemistry', 'reaction', 'icho', 'stoichiometry', 'difficulty-basic', 'requires-reasoning']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: The reaction between uranium and chlorine trifluoride is U + 3ClF3 -> UF6 + xClF. What is x?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['3']
number_of_structural_isomers,3dab2555-28ae-4d8a-f1f2-8c8990d8bb23,Predicting the total number of structural isomers for a given molecular formula.,"['isomers', 'requires-reasoning', 'organic-chemistry', 'dfficulty-basic']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: How many structural isomers (excluding stereochemistry) are there for C5H12?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['3']
number_1h_nmr_shifts,3f436ebd-0bf6-54e2-3ebd-d2b989922fdb,Predicting the maximum number of 1H NMR peaks for a molecule.,"['nmr', 'analytical-chemistry', '1H', 'symmetry', 'requires-reasoning']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: What is the number of peaks in the 1H NMR spectrum of a molecule with SMILES COC1C(C)C2CCC12?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['10']
number_1h_nmr_shifts,3f575f53-3ee7-d71f-0165-360c79c88464,Predicting the maximum number of 1H NMR peaks for a molecule.,"['nmr', 'analytical-chemistry', '1H', 'symmetry', 'requires-reasoning']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: What is the number of peaks in the 1H NMR spectrum of a molecule with SMILES O1C2C3OC4C2C1C34?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['3']
number_1h_nmr_shifts,4071bf93-6448-cc8a-e567-64a805388b2c,Predicting the maximum number of 1H NMR peaks for a molecule.,"['nmr', 'analytical-chemistry', '1H', 'symmetry', 'requires-reasoning']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: What is the number of peaks in the 1H NMR spectrum of a molecule with SMILES O=CC1COC2CC1C2?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['10']
icho_uk_2019_1d,40d39921-3b57-9f4e-fbc2-efd472acec26,Calculating the moles leaving a reactor given the initial mixture composition of moles.,"['stoichiometry', 'equilibrium', 'physical-chemistry', 'reaction', 'requires-calculation', 'icho']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: In the reaction CO + H2O <=> CO2 + H2, an initial mixture of 40 mol of CO, 20 mol of H2, and 20 mol of CO2 in contact with 40 mol of steam was allowed to come to equilibrium in a reactor at 1100 K. At 1100 K this reaction has a K_p of 0.64. What is the number of moles of CO leaving the reactor after equilibration?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['33.3']
icho_uk_2020_4a,41dc436d-c0fd-0351-2054-fcf3d7a53221,Predicting the correct molecular formula.,"['molecular-formula', 'p-block', 'inorganic-chemistry', 'reaction', 'icho', 'stochiometry', 'difficulty-basic', 'requires-reasoning']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: To make silica gel, solid silicon dioxide must be reacted in 1:2 ratio with sodium carbonate at 1500 deg C. This reaction forms salt Na4SiO4 and colorless gas COx. What is x?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['2']
icho_uk_2011_1e,4437a592-4683-7750-f0e1-6b6f1e454c28,Predicting the number of chiral centers in a compound.,"['chirality', 'organic-chemistry', 'chemical-bonding', 'icho', 'requires-reasoning']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: How many chiral centers are present in the molecular structure of citric acid?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['0']
icho_uk_2023_q2h1,44e03de5-c871-394b-4f5c-331ee7d0c446,Calculating volume of a unit cell given the cell parameters.,"['crystalline-forms', 'unit-cell', 'inorganic-chemistry', 'cell-parameters', 'volume', 'requires-calculation', 'icho', 'difficulty-basic']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: Boron nitride has a cubic form(c-BN). The unit cell of c-BN is cubic, with cell parameters of a = 3.63 Angstrom. What is the volume of the c-BN unit cell in cm^{3}?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['4.78E-23']
number_1h_nmr_shifts,4513eff2-50fc-a24c-7910-43bbffae5951,Predicting the maximum number of 1H NMR peaks for a molecule.,"['nmr', 'analytical-chemistry', '1H', 'symmetry', 'requires-reasoning']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: What is the number of peaks in the 1H NMR spectrum of a molecule with SMILES OCC12CC1(O)CC2O?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['10']
metal_complexes_11,45b41970-dc50-0b7e-2516-6bbab8f913f3,Metal complexes questions,"['requires-knowledge', 'requires-reasoning', 'requires-calculation', 'inorganic-chemistry', 'oxidation number', 'metal complex']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: The ligand-field splitting energy (LFSE) is computed as LFSE=-0.4\\cdot Dq \\cdot n+0.6 \\cdot Dq \\cdot m with n being the number of electrons in t2g d orbitals (\\mathrm{d}_{xz}, \\mathrm{d}_{yz} and \\mathrm{d}_{xy}), m the number of electrons in eg d orbitals (\\mathrm{d}_{x^2-y^2} and \\mathrm{d_{z^2}}), and Dq the ligand field splitting parameter. What is the value of LFSE in terms of Dq for the low-spin case in the metal complex tetramethylamine diaquacopper(II) ion?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['-0.6']
oxidation_states,45c79d85-7323-5468-5a37-2f08baa1bfa2,Predicting the oxidation state of an element in a chemical compound,"['oxidation states', 'requires-reasoning', 'general-chemistry', 'difficulty-basic']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: What is the oxidation state of Na in NaHSO4?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['1']
icho_uk_2022_q2d,46ad7b58-775e-1059-4d81-ffbbd06ddc7c,Predicting the correct molecular formula to complete the given reaction.,"['molecular formula', 'inorganic-chemistry', 'p-block', 'reaction', 'icho', 'requires-reasoning', 'difficulty-basic', 'stochiometry']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: NO2 is a brownish-red gas in equilibrium with a colorless gas N2Ox. What is the value of x?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['4']
number_of_structural_isomers,4814bdfd-15ab-99da-7e1e-fcc35628160e,Predicting the total number of structural isomers for a given molecular formula.,"['isomers', 'requires-reasoning', 'organic-chemistry', 'dfficulty-basic']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: How many structural isomers (excluding stereochemistry) are there for C3H4?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['3']
icho_uk_2020_4f,48559792-3cac-3874-dc73-6f52f7134b0b,Predicting the percentage of a compound in a sample.,"['mass-balance', 'physical-chemistry', 'molar-mass', 'requires-calculation', 'icho', 'requires-reasoning', 'difficulty-basic']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: Chrysotile (Mg3Si2H4O9), forms needle-like fibres and is a form of asbestos. Talc is often found contaminated with chrysotile. A mineral sample was analysed and found to contain 20.32 % Mg and 28.18 % Si by mass. Assuming the sample contained only talc and chrysotile, what is the molar percentage of talc it contained?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['80']
number_1h_nmr_shifts,49994412-4532-8e05-4579-ad92c8698a1a,Predicting the maximum number of 1H NMR peaks for a molecule.,"['nmr', 'analytical-chemistry', '1H', 'symmetry', 'requires-reasoning']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: What is the number of peaks in the 1H NMR spectrum of a molecule with SMILES CC1=CC(=O)NCCN1?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['6']
icho_uk_2021_q1c,4c1661b1-8c90-96e8-89a5-6874f622a561,Predicting the appropriate stoichiometric coefficient to complete the given reaction.,"['stoichiometric coefficient', 'inorganic-chemistry', 'p-block', 'reaction', 'icho', 'stochiometry', 'requires-reasoning', 'difficulty-basic']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: The equation for the reduction of phosphorus trichloride with lithium hydride is PCl3 + 3LiH -> PH3 + xLiCl. What is the value of x?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['3']
icho_uk_2020_4b,4cf1183f-1129-7ef5-7d66-785042189c46,Predicting the appropriate stoichiometric coefficient to complete the given reaction.,"['stoichiometric coefficient', 'general-chemistry', 'p-block', 'reaction', 'icho', 'stochiometry', 'difficulty-basic', 'requires-reasoning']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: The equation for the reaction of CaSiO3 with dilute hydrochloric acid is CaSiO3 + 2HCl +xH2O -> SiO2.11H2O + CaCl2. What is the value of x?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['10']
icho_uk_2022_q4c,4d853d9b-82b8-da51-d537-797a70ac0b0a,Calculating the concentration of a species given number of particles per unit volume.,"['equilibrium', 'physical-chemistry', 'concentration', 'requires-calculation', 'icho', 'stochiometry', 'difficulty-basic']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: There are 7.1E6 virus particles per cm^{3} in the test solution. Each virus particle has approximately 20 spike proteins on its surface. What is the concentration of spike proteins, [SP], in the test sample in mol dm^{-3}?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['2.36E-13']
number_of_structural_isomers,4dcf5e1f-22a2-3eb1-bb09-35bf26028549,Predicting the total number of structural isomers for a given molecular formula.,"['isomers', 'requires-reasoning', 'organic-chemistry', 'dfficulty-basic']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: How many structural isomers (excluding stereochemistry) are there for C6H12?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['25']
icho_uk_2020_1a,4e1b92f4-6044-d7ed-23ca-3995b907bb3d,Predicting the appropriate stoichiometric coefficient to complete the given reaction.,"['stoichiometric coefficient', 'general-chemistry', 'reduction', 'reaction', 'icho', 'stochiometry', 'difficulty-basic', 'requires-reasoning']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: Calcium carbide can be formed from calcium oxide by CaO + 3C -> xCaC2 + CO. What is x?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['1']
number_1h_nmr_shifts,4e658c92-366a-173f-e2eb-be0ec23184e6,Predicting the maximum number of 1H NMR peaks for a molecule.,"['nmr', 'analytical-chemistry', '1H', 'symmetry', 'requires-reasoning']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: What is the number of peaks in the 1H NMR spectrum of a molecule with SMILES CNC1=NC(N)=NN1C?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['4']
icho_uk_2023_q2h5,4e846028-9f8f-44f2-eb3e-59316479df10,Calculating number of atoms of an element in a crystalline form given the unit cell's parameters.,"['crystalline-forms', 'unit-cell', 'inorganic-chemistry', 'cell-parameters', 'icho', 'difficulty-basic', 'requires-calculation', 'requires-reasoning']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: Boron nitride has a wurtzite structure (w-BN). The unit cell of w-BN is a right rhombic prism, with cell parameters of d = 2.54 \\A and e = 3.63 \\A and interior angles of 60 deg and 120 deg. What is the number of B atoms in the unit cell of w-BN?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['2']
reasoning_question_4,4ee01c7f-3a65-1be2-db65-a6ffa7cb76e0,Enthalpy of formation calculation based on known enthalpies of reactions,"['physical-chemistry', 'thermodynamics', 'enthalpy of formation', 'enthalpy of reaction', 'requires-calculation', 'icho']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: The following enthalpy of reactions are known: B2H6 (g) + 3O2 (g) -> B2O3 (s) + 3H2O (g), \\Delta H = --1941 kJ; 4B (s) + 3O2 (g) -> B2O3 (g), \\Delta H = -4736 kJ; 2H2 (g) + O2 (g) -> 2H2O (g), \\Delta H = --483.6 kJ. Given this information, what is the molar enthalpy of formation of B2H6 (g)?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['1152.4']
icho_uk_2022_q3b,4fa07e47-6814-5d41-e278-c4f72807433a,Predicting the number of peaks in the NMR spectrum of a given compound.,"['NMR-spectroscopy', 'organic-chemistry', 'isomers', 'icho', 'requires-knowledge', 'requires-reasoning']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: What is the number of peaks in the C(13) NMR spectrum of cubane-carboxylic acid?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['5']
number_of_structural_isomers,5055421a-af47-7999-7155-77abbbb415a9,Predicting the total number of structural isomers for a given molecular formula.,"['isomers', 'requires-reasoning', 'organic-chemistry', 'dfficulty-basic']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: How many structural isomers (excluding stereochemistry) are there for C3H8O?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['3']
icho_uk_2023_q2g2,51f7da95-3a4d-2827-2d73-8c1e5f0413d2,Predicting the appropriate stoichiometric coefficient to complete the given reaction.,"['stoichiometric coefficient', 'electronegativity', 'inorganic-chemistry', 'reaction', 'icho', 'stochiometry', 'requires-reasoning', 'difficulty-basic']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: Boron nitride can be formed by reaction of boron trioxide, nitrogen, and calcium hexaboride, B2O3 + 10N2 + 3CaB6 -> xBN + 3CaO. What is the value of x?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['20']
icho_uk_2010_6d,523af14e-6a52-a0ff-35ae-464239b96e05,Calculating the volume of an atom given its mass and density.,"['stoichiometry', 'density', 'physical-chemistry', 'requires-calculation', 'icho', 'difficulty-basic']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: The mass of one gold atom is 3.27E-22 g and the density of gold is 19.3 g cm^{-3}. What is the molar volume of gold in cm^{3} mol^{-1}?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['10.2']
icho_uk_2021_q1b1,544ae5ea-5e1c-adec-52c6-1df1a55ed43e,Calculating the oxidation state of an element in a compound.,"['oxidation-state', 'physical-chemistry', 'p-block', 'icho', 'requires-reasoning', 'difficulty-basic']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: What is the oxidation state of phosphorus in phosphoric acid?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['5']
number_of_structural_isomers,55d6bef9-ac82-213b-c6ad-effbf9e06b88,Predicting the total number of structural isomers for a given molecular formula.,"['isomers', 'requires-reasoning', 'organic-chemistry', 'dfficulty-basic']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: How many structural isomers (excluding stereochemistry) are there for C8H18?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['18']
number_of_structural_isomers,596e72f9-aa5e-1ea8-45de-ae5727849e1e,Predicting the total number of structural isomers for a given molecular formula.,"['isomers', 'requires-reasoning', 'organic-chemistry', 'dfficulty-basic']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: How many structural isomers (excluding stereochemistry) are there for C7H16?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['9']
electron_counts,5ae9ffa5-5d69-35f2-2d3b-5d8132e5a3e7,Predicting the total electron count of a compound,"['electron counts', 'general-chemistry', 'requires-reasoning', 'difficulty-basic']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: What is the total electron count of NH3?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['10']
icho_uk_2019_1d,5c52e55c-a4a4-21f6-0834-852df3b2f22d,Calculating the moles leaving a reactor given the initial mixture composition of moles.,"['stoichiometry', 'equilibrium', 'physical-chemistry', 'reaction', 'requires-calculation', 'icho']","[{'messages': [{'role': 'user', 'content': ""The following is a question about chemistry.\n\nQuestion: In the reaction CO + H2O <=> CO2 + H2, an initial mixture of 40 mol of CO, 20 mol of H2, and 20 mol of CO2 in contact with 40 mol of steam was allowed to come to equilibrium in a reactor at 1100 K. At 1100 K this reaction has a K_p of 0.64. What is the number of moles of H2O leaving the reactor after equilibration?\n\nYou MUST include the final answer within the following tags: [ANSWER] and [/ANSWER].\nFor example, '[ANSWER]<answer>[/ANSWER]', where <answer> is only one number. Always answer in exactly this format, with ONE NUMBER between the two tags, even if you are unsure. Use dots as decimal separator. We require this because we use automatic parsing.""}]}]",mae,['33.3']
